name,year,subtext,duration,genres,director,stars
Shazam!,2019,PG-13, 2h 12m,Action & Comedy & Adventure & Fantasy,David F. Sandberg,Zachary Levi & Asher Angel & Jack Dylan Grazer & Mark Strong & Djimon Hounsou & Grace Fulton & Faithe Herman & Ian Chen & Jovan Armand & Cooper Andrews & Marta Milans & Adam Brody & Michelle Borth & Meagan Good & Ross Butler & D.J. Cotrona & David J. MacNeil & Carson MacCormac & Natalia Safran & Lou Lou Safran & Ava Preston & Caroline Palmer & Lotta Losten & Andi Osho & Ethan Pugiotto & David Kohlsmith & Manuel Rodriguez-Saenz & Ali Badshah & Simon Northwood & Lovina Yavari & Rachel Boyd & Jim Pagiamtzis & Emily Nixon & Raul Torres & Jhaleil Swaby & Jackson Reid & Bryce Arden Poe & Tosh Robertson & Pearl Ho & Cassandra Ebner & Stephanie Hawkins & Angelica Lisk-Hann & Jesse Bond & Harper Gunn & Evan Marsh & Kerri Kamara & Leon Oliveira Martins & Nilce Moretto & John Glover & David F. Sandberg
Cars,2006,G, 1h 57m,Animation & Adventure & Comedy & Family,John Lasseter,Owen Wilson & Paul Newman & Bonnie Hunt & Larry the Cable Guy & Tony Shalhoub & Cheech Marin & Michael Wallis & George Carlin & Paul Dooley & Jenifer Lewis & Guido Quaroni & Richard Petty & Michael Keaton & Katherine Helmond & John Ratzenberger & Joe Ranft & Jeremy Piven & Jeremy Clarkson & Dale Earnhardt Jr. & Mario Andretti & Michael Schumacher & Jay Leno & Tom Hanks & Tim Allen & Billy Crystal & John Goodman & Dave Foley & Bob Costas & Darrell Waltrip & Richard Kind & Edie McClurg & Humpy Wheeler & Tom Magliozzi & Ray Magliozzi & Lynda Petty & Andrew Stanton & Sarah Clark & Mike Nelson & Joe Ranft & Jonas Rivera & Lou Romano & Adrian Ochoa & E.J. Holowicki & Elissa Knight & Lindsey Collins & Larry Benton & Douglas Keever & Sherry Lynn & Mickie McGowan & Jack Angel
Spider-Man: Into the Spider-Verse,2018,PG, 1h 57m,Action & Adventure & Animation & Science Fiction & Comedy,Rodney Rothman & Bob Persichetti & Peter Ramsey,Shameik Moore & Jake Johnson & Hailee Steinfeld & Mahershala Ali & Brian Tyree Henry & Lily Tomlin & Lauren Vélez & Zoë Kravitz & John Mulaney & Kimiko Glenn & Nicolas Cage & Kathryn Hahn & Liev Schreiber & Chris Pine & Natalie Morales & Edwin H. Bravo & Oscar Isaac & Greta Lee & Stan Lee & Jorma Taccone & Joaquín Cosio & Marvin 'Krondon' Jones III & Kim Yarbrough & Lake Bell & Nick Jaine & Muneeb Rehman & Post Malone & Melanie Haynes & Lex Lang & Christopher Miller & Scott Menville & Juan Pacheco & Miguel Jiron
Mary Poppins Returns,2018,PG, 2h 11m,Fantasy & Family & Comedy,Rob Marshall,Emily Blunt & Lin-Manuel Miranda & Ben Whishaw & Emily Mortimer & Pixie Davies & Nathanael Saleh & Joel Dawson & Julie Walters & Meryl Streep & Colin Firth & Jeremy Swift & Kobna Holdbrook-Smith & Dick Van Dyke & Angela Lansbury & David Warner & Jim Norton & Noma Dumezweni & Tarik Frimpong & Sudha Bhuchar & Steve Nicolson & Christian Dixon & Christopher Godwin & John Dagleish & Karen Dotrice & Ian Conningham & Billy Barratt & Felix Collar & Kate Attwell & Chris O'Dowd & Mark Addy & Edward Hibbert & Jon-Scott Clark & Calvin Chen & Craig Stein & Leon Cooke & Alex Sturman & Tara Nicole Hughes & Bernardo Santos & Bern Collaco & Johanna Thea & Jag Patel & Nina Kumar & David Gambier & Jeremy Azis & Bern Collaço & Steve Carroll & Nick Owenford & Martyn Mayger & Alex Jaep & Richard Price & Fran Targ & Raj Awasti
Ralph Breaks the Internet,2018,PG, 1h 52m,Family & Animation & Comedy & Fantasy,Phil Johnston & Rich Moore,"John C. Reilly & Sarah Silverman & Gal Gadot & Taraji P. Henson & Jack McBrayer & Jane Lynch & Alan Tudyk & Alfred Molina & Ed O'Neill & Bill Hader & John DiMaggio & Irene Bedard & Kristen Bell & Jodi Benson & Auli'i Cravalho & Jennifer Hale & Kate Higgins & Linda Larkin & Kelly Macdonald & Idina Menzel & Mandy Moore & Paige O'Hara & Pamela Ribon & Anika Noni Rose & Ming-Na Wen & Roger Craig Smith & Tim Allen & Anthony Daniels & Rich Moore & Phil Johnston & Colleen Ballinger & Dani Fernandez & Tiffany Herrera & Corey Burton & Brad Garrett & Michael Giacchino & Kevin Deters & Jesse Averna & Vin Diesel & Maurice LaMarche & Dan Reynolds & Wayne Sermon & Ben McKee & Daniel ""Z"" Platzman & Ana Ortiz & Ali Wong & Rebecca Wisocky & Flula Borg & Timothy Simons & Mark Smith & Jamie Elman & Hamish Blake & Glozell Green & Della Saba & Kent Boyd & Rachel Crow & June Squibb & Dianna Agron & Jason Mantzoukas & Nicole Scherzinger & Sean Giambrone & Katie Lowes & Melissa Villaseñor & Jeremy Milton & Sam Richardson & Jaboukie Young-White & Horatio Sanz & Alex Moffat & Michaela Zee & Raymond S. Persi & Fuschia! & Jason Hightower & Brian Curless & Ann Barry Colgin & Viveca Paulin & Brittany Kikuchi & Olivier Bénard & Jenica Bergere & John Lavelle & Josie Trinidad & Ruth Strother & Elise Aliberti & Maddix Robinson & Bradford Simonsen & Fabienne Rawley"
Happy Death Day 2U,2019,PG-13, 1h 40m,Horror & Mystery & Thriller & Science Fiction & Comedy,Christopher Landon,Jessica Rothe & Israel Broussard & Phi Vu & Suraj Sharma & Sarah Yarkin & Rachel Matthews & Ruby Modine & Steve Zissis & Charles Aitken & Laura Clifton & Missy Yager & Jason Bayle & Caleb Spillyards & Jimmy Gonzales & Peter Jaymes Jr. & Rob Mello & Kenneth Israel & James W. Evermore & Blaine Kern III & Johnny Ballance & Tenea Intriago & Lindsey G. Smith
Guardians of the Galaxy Vol. 2,2017,PG-13, 2h 17m,Action & Adventure & Comedy & Science Fiction,James Gunn,Chris Pratt & Zoe Saldana & Dave Bautista & Vin Diesel & Bradley Cooper & Michael Rooker & Karen Gillan & Pom Klementieff & Sylvester Stallone & Kurt Russell & Elizabeth Debicki & Chris Sullivan & Sean Gunn & Tommy Flanagan & Laura Haddock & Aaron Schwartz & Hannah Gottesman & Hilty Bowen & Ben Browder & Alexander Klein & Luke Cook & Evan Jones & Joe Fria & Terence Rosemore & Jimmy Urine & Stephen Blackehart & Steve Agee & Blondy Baruti & Richard Christy & Rob Zombie & Sierra Love & Kendra Carelli & Milynn Sarley & Seth Green & Molly C. Quinn & Michael Rosenbaum & Rhoda Griffis & Stan Lee & David Hasselhoff & Mac Wells & Jim Gunn Sr. & Leota Gunn & Elizabeth Ludlow & Wyatt Oleff & Gregg Henry & Damita Jane Howard & Ving Rhames & Michelle Yeoh & Fred & Miley Cyrus & Jeff Goldblum & Mike Escamilla & Donny Carrington & Brian Clackley & Nea Dune & Fred Galle & Stephen Vining & Tahseen Ghauri & Alphonso A'Qen-Aten Jackson & Kelly Richardson & Guillermo Rodriguez & Josh Tipis & Jason Williams & Cheyanna Lavon Zubas
Kuppathu Raja,2019,UA, 2h 2m,Action & Comedy & Drama,Baba Baskar,G. V. Prakash Kumar & Parthiban & Palak Lalwani & Poonam Bajwa & Yogi Babu & M. S. Bhaskar & R. N. R. Manohar & Jangiri Madhumitha & Aravind Akash & Ajay Raj
Asterix: The Secret of the Magic Potion,2018,U, 1h 25m,Animation & Family & Comedy & Adventure,Alexandre Astier & Louis Clichy,Christian Clavier & Daniel Mesguich & Alex Lutz & Alexandre Astier & Elie Semoun & Guillaume Briat & Bernard Alane & Gérard Hernandez & François Morel & Lionnel Astier & Florence Foresti & Lévanah Solomon
A Madea Family Funeral,2019,PG-13, 1h 44m,Comedy,Tyler Perry,Tyler Perry & Patrice Lovely & Cassi Davis & Ciera Payton & KJ Smith & David Otunga & Quin Walters & Selena Anduze & Chandra Currelley-Young & Vermyttya Erahn & Ary Katz & Renah Gallagher & Victoria Hardway & Odin Gomez & Bobby Akers & Courtney Burrell & Rome Flynn & Aeriél Miranda & Joel Rush & Jen Harper & David Dunston & Nick Smoot & Charles Adams & Derek Morgan & Alexa Whitaker & Deedra Jordan & Todd Davis & Christianee Porter & Darryl W. Handy & Karlton Humes & Jada Howard & Alisha 'A.J.' Blanding & Kelvin D. Armstrong & Andrea Pelican-Ray & Lanita C. Brinson & Ayana Maceida McDonald & Latrice Pace & Calvin Bernard Brown & Marissa Patrice Rouse & Derek Lamont & Monique C Baisden & Donald E. Grissom Jr. & Patricia Rochelle Allen & Ericka Smith & Raechelle Lauren Garner & Erik W. Coleman & Sheena Alexandria Evans & Freshun Wilson & Tiffany Boone & Glennie Y. Williams & Zaviel Janae & Marisol Correa & Todd Davis & David Dunston & Mike Tyson
Ant-Man and the Wasp,2018,PG-13, 1h 59m,Action & Adventure & Science Fiction & Comedy & Family,Peyton Reed,Paul Rudd & Evangeline Lilly & Michael Peña & Walton Goggins & Bobby Cannavale & Judy Greer & T.I. & David Dastmalchian & Hannah John-Kamen & Abby Ryder Fortson & Randall Park & Michelle Pfeiffer & Laurence Fishburne & Michael Douglas & Divian Ladwa & Goran Kostić & Rob Archer & Sean Kleier & Benjamin Byron Davis & Michael Cerveris & Riann Steele & Dax Griffin & Hayley Lovitt & Langston Fishburne & RaeLynn Bratten & Madeleine McGraw & Tim Heidecker & Stan Lee & Charles Justo & Brian Huskey & Suehyla El-Attar & Julia Vera & Jessica Winther & Norwood J. Cheek Jr. & Bryan Lugo & Darcy Shean & Torrey Vogel & Simon Potter & Jon Wurster & Tom Scharpling & Virginia Hamilton & Natasha Zouves & Mika Kubo & Joshua Mikel & Ronald Joe Vasquez & Chris Gann & Sergio Briones & Denney Pierce & Vanessa Ross & Zachary Culbertson & Steven Wiig & Timothy Carr & Sawyer Jones & Rick Richardson & Benjamin Weaver & Jamel Chambers & Jennifer Black & Sandra Dee Richardson & Tahseen Ghauri & Dale Liner & John Ozuna & Marcella Bragio & Sophia Marcs & William W. Barbour & Kevin Carscallen & Seth McCracken
Wonder Park,2019,PG, 1h 26m,Comedy & Animation & Adventure & Family & Fantasy,,Brianna Denski & Matthew Broderick & Jennifer Garner & Sofia Mali & Kenan Thompson & Ken Jeong & Mila Kunis & John Oliver & Norbert Leo Butz & Kath Soucie
Thor: Ragnarok,2017,PG-13, 2h 11m,Action & Adventure & Comedy & Fantasy & Science Fiction,Taika Waititi,Chris Hemsworth & Tom Hiddleston & Cate Blanchett & Idris Elba & Jeff Goldblum & Tessa Thompson & Karl Urban & Mark Ruffalo & Anthony Hopkins & Benedict Cumberbatch & Taika Waititi & Rachel House & Clancy Brown & Tadanobu Asano & Ray Stevenson & Zachary Levi & Stan Lee & Georgia Blizzard & Amali Golden & Luke Hemsworth & Sam Neill & Matt Damon & Charlotte Nicdao & Scarlett Johansson & Ashley Ricardo & Shalom Brune-Franklin & Taylor Hemsworth & Cohen Holloway & Alia Seror-O'Neill & Sophia Laryea & Steven Oliver & Hamish Parkinson & Jasper Bagg & Sky Castanho & Shari Sebbens & Richard Green & Sol Castanho & Jet Tranter & Samantha Hopper & Eloise Winestock & Rob Mayes & Tahlia Jade & Winnie Mzembe & Sean Edward Frazer & Connor Zegenhagen & Tracie Filmer & Tracey Lee Maxwell & Beatrice Ward & Donnie Baxter & Greta Carew-Johns & Adam Green & Mollie McGregor & Sophia McGregor
Deadpool 2,2018,R, 2h 1m,Action & Comedy & Adventure,David Leitch,Ryan Reynolds & Josh Brolin & Morena Baccarin & Julian Dennison & Zazie Beetz & T.J. Miller & Leslie Uggams & Karan Soni & Brianna Hildebrand & Jack Kesy & Eddie Marsan & Shiori Kutsuna & Stefan Kapičić & Andre Tricoteux & Randal Reeder & Nikolai Witschl & Thayr Harris & Rob Delaney & Lewis Tan & Bill Skarsgård & Terry Crews & Brad Pitt & Paul Wu & Robert Maillet & Alan Tudyk & Matt Damon & Michasha Armstrong & Hayley Sales & Islie Hirvonen & Joe Doserro & Jagua Arneja & Gerry South & Mike Dopud & Luke Roessler & Andy Canete & Tanis Dolman & Eleanor Walker & Hunter Dillon & Sala Baker & Sonia Sunger & Paul Wernick & Rhett Reese & Abiola Uthman & Tony Bailey & David Leitch & Hugh Jackman & James McAvoy & Nicholas Hoult & Kodi Smit-McPhee & Alexandra Shipp & Evan Peters & Tye Sheridan & David Berón & Richard Epcar & Lex Lang & David Michie & Andrew Morgado & Ben Pronsky & Dean Wein & Fred Savage
The Beach Bum,2019,R, 1h 35m,Comedy,Harmony Korine,Matthew McConaughey & Isla Fisher & Snoop Dogg & Stefania LaVie Owen & Zac Efron & Martin Lawrence & Jonah Hill & Jimmy Buffett & Vanessa Marie & Sharon Pfeiffer & Harold Clinton Archambault & Tonya Oliver & Ricardo Matallana & Alan Frankel & A. Ali Flores
